Fiscal Year,County,Region,Agency Type,Relative Adoption,Number of Consummated Adoptions
2023,Anderson,4-Tyler,DFPS,Yes,2
2023,Anderson,4-Tyler,DFPS,No,3
2023,Anderson,4-Tyler,Non DFPS,Yes,6
2023,Anderson,4-Tyler,Non DFPS,No,3
2023,Andrews,9-Midland,DFPS,Yes,1
2023,Andrews,9-Midland,Non DFPS,Yes,2
2023,Angelina,5-Beaumont,DFPS,Yes,8
2023,Angelina,5-Beaumont,DFPS,No,8
2023,Angelina,5-Beaumont,Non DFPS,Yes,2
2023,Angelina,5-Beaumont,Non DFPS,No,4
2023,Aransas,11-Edinburg,DFPS,Yes,2
2023,Aransas,11-Edinburg,Non DFPS,No,1
2023,Armstrong,1-Lubbock,Non DFPS,No,2
2023,Atascosa,8-San Antonio,DFPS,No,5
2023,Atascosa,8-San Antonio,Non DFPS,Yes,17
2023,Atascosa,8-San Antonio,Non DFPS,No,6
2023,Austin,6-Houston,Non DFPS,Yes,1
2023,Austin,6-Houston,Non DFPS,No,1
2023,Bailey,1-Lubbock,Non DFPS,No,1
2023,Bandera,8-San Antonio,Non DFPS,Yes,3
2023,Bandera,8-San Antonio,Non DFPS,No,5
2023,Bastrop,7-Austin,DFPS,Yes,3
2023,Bastrop,7-Austin,Non DFPS,Yes,6
2023,Bastrop,7-Austin,Non DFPS,No,6
2023,Bee,11-Edinburg,DFPS,Yes,4
2023,Bee,11-Edinburg,Non DFPS,Yes,4
2023,Bell,7-Austin,DFPS,Yes,12
2023,Bell,7-Austin,DFPS,No,13
2023,Bell,7-Austin,Non DFPS,Yes,44
2023,Bell,7-Austin,Non DFPS,No,43
2023,Bexar,8-San Antonio,DFPS,Yes,28
2023,Bexar,8-San Antonio,DFPS,No,8
2023,Bexar,8-San Antonio,Non DFPS,Yes,277
2023,Bexar,8-San Antonio,Non DFPS,No,278
2023,Blanco,7-Austin,Non DFPS,Yes,3
2023,Blanco,7-Austin,Non DFPS,No,4
2023,Bosque,7-Austin,Non DFPS,Yes,1
2023,Bowie,4-Tyler,DFPS,Yes,1
2023,Bowie,4-Tyler,DFPS,No,4
2023,Bowie,4-Tyler,Non DFPS,No,1
2023,Brazoria,6-Houston,DFPS,No,2
2023,Brazoria,6-Houston,Non DFPS,Yes,13
2023,Brazoria,6-Houston,Non DFPS,No,17
2023,Brazos,7-Austin,DFPS,Yes,1
2023,Brazos,7-Austin,DFPS,No,2
2023,Brazos,7-Austin,Non DFPS,Yes,16
2023,Brazos,7-Austin,Non DFPS,No,21
2023,Briscoe,1-Lubbock,Non DFPS,No,1
2023,Brown,2-Abilene,DFPS,No,3
2023,Brown,2-Abilene,Non DFPS,Yes,2
2023,Brown,2-Abilene,Non DFPS,No,28
2023,Burleson,7-Austin,Non DFPS,No,3
2023,Burnet,7-Austin,DFPS,No,1
2023,Burnet,7-Austin,Non DFPS,Yes,8
2023,Burnet,7-Austin,Non DFPS,No,6
2023,Caldwell,7-Austin,DFPS,Yes,8
2023,Caldwell,7-Austin,Non DFPS,Yes,8
2023,Caldwell,7-Austin,Non DFPS,No,7
2023,Calhoun,8-San Antonio,Non DFPS,No,2
2023,Callahan,2-Abilene,Non DFPS,Yes,2
2023,Callahan,2-Abilene,Non DFPS,No,3
2023,Cameron,11-Edinburg,DFPS,Yes,4
2023,Cameron,11-Edinburg,DFPS,No,1
2023,Cameron,11-Edinburg,Non DFPS,Yes,12
2023,Cameron,11-Edinburg,Non DFPS,No,26
2023,Camp,4-Tyler,DFPS,Yes,2
2023,Camp,4-Tyler,DFPS,No,2
2023,Camp,4-Tyler,Non DFPS,Yes,1
2023,Carson,1-Lubbock,Non DFPS,No,1
2023,Cass,4-Tyler,DFPS,Yes,5
2023,Cass,4-Tyler,DFPS,No,1
2023,Cass,4-Tyler,Non DFPS,No,2
2023,Castro,1-Lubbock,Non DFPS,Yes,5
2023,Chambers,6-Houston,Non DFPS,Yes,2
2023,Cherokee,4-Tyler,DFPS,Yes,4
2023,Cherokee,4-Tyler,DFPS,No,2
2023,Cherokee,4-Tyler,Non DFPS,Yes,7
2023,Cherokee,4-Tyler,Non DFPS,No,4
2023,Childress,1-Lubbock,Non DFPS,Yes,1
2023,Clay,2-Abilene,Non DFPS,No,5
2023,Coleman,2-Abilene,Non DFPS,No,4
