Fiscal Year,County,Number of Consummated Adoptions,Map ID
2014,Anderson,9,48001
2014,Andrews,1,48003
2014,Angelina,10,48005
2014,Aransas,9,48007
2014,Archer,0,48009
2014,Armstrong,0,48011
2014,Atascosa,41,48013
2014,Austin,6,48015
2014,Bailey,2,48017
2014,Bandera,8,48019
2014,Bastrop,36,48021
2014,Baylor,0,48023
2014,Bee,7,48025
2014,Bell,94,48027
2014,Bexar,1093,48029
2014,Blanco,0,48031
2014,Borden,0,48033
2014,Bosque,1,48035
2014,Bowie,16,48037
2014,Brazoria,5,48039
2014,Brazos,31,48041
2014,Brewster,0,48043
2014,Briscoe,0,48045
2014,Brooks,1,48047
2014,Brown,16,48049
2014,Burleson,6,48051
2014,Burnet,20,48053
2014,Caldwell,11,48055
2014,Calhoun,0,48057
2014,Callahan,1,48059
2014,Cameron,11,48061
2014,Camp,11,48063
2014,Carson,0,48065
2014,Cass,6,48067
2014,Castro,9,48069
2014,Chambers,3,48071
2014,Cherokee,26,48073
2014,Childress,0,48075
2014,Clay,0,48077
2014,Cochran,1,48079
2014,Coke,0,48081
2014,Coleman,1,48083
2014,Collin,42,48085
2014,Collingsworth,0,48087
2014,Colorado,5,48089
2014,Comal,17,48091
2014,Comanche,2,48093
2014,Concho,1,48095
2014,Cooke,18,48097
2014,Coryell,14,48099
2014,Cottle,0,48101
2014,Crane,0,48103
2014,Crockett,1,48105
2014,Crosby,1,48107
2014,Culberson,0,48109
2014,Dallam,0,48111
2014,Dallas,304,48113
2014,Dawson,2,48115
2014,Deaf Smith,1,48117
2014,Delta,1,48119
2014,Denton,96,48121
2014,Dewitt,0,48123
2014,Dickens,0,48125
2014,Dimmit,5,48127
2014,Donley,0,48129
2014,Duval,0,48131
2014,Eastland,1,48133
2014,Ector,49,48135
2014,Edwards,0,48137
2014,Ellis,5,48139
2014,El Paso,102,48141
2014,Erath,9,48143
2014,Falls,5,48145
2014,Fannin,2,48147
2014,Fayette,18,48149
2014,Fisher,0,48151
2014,Floyd,5,48153
2014,Foard,1,48155
2014,Fort Bend,9,48157
2014,Franklin,3,48159
2014,Freestone,5,48161
2014,Frio,12,48163
2014,Gaines,3,48165
2014,Galveston,32,48167
2014,Garza,0,48169
2014,Gillespie,6,48171
2014,Glasscock,0,48173
2014,Goliad,1,48175
2014,Gonzales,4,48177
2014,Gray,9,48179
2014,Grayson,16,48181
2014,Gregg,43,48183
2014,Grimes,3,48185
2014,Guadalupe,42,48187
2014,Hale,6,48189
2014,Hall,1,48191
2014,Hamilton,0,48193
2014,Hansford,0,48195
2014,Hardeman,0,48197
2014,Hardin,3,48199
2014,Harris,805,48201
2014,Harrison,10,48203
2014,Hartley,3,48205
2014,Haskell,3,48207
2014,Hays,20,48209
2014,Hemphill,0,48211
2014,Henderson,26,48213
2014,Hidalgo,10,48215
2014,Hill,7,48217
2014,Hockley,12,48219
2014,Hood,14,48221
2014,Hopkins,5,48223
2014,Houston,6,48225
2014,Howard,7,48227
2014,Hudspeth,1,48229
2014,Hunt,44,48231
2014,Hutchinson,1,48233
2014,Irion,0,48235
2014,Jack,0,48237
2014,Jackson,1,48239
2014,Jasper,3,48241
2014,Jeff Davis,0,48243
2014,Jefferson,43,48245
2014,Jim Hogg,0,48247
2014,Jim Wells,4,48249
2014,Johnson,66,48251
2014,Jones,1,48253
2014,Karnes,3,48255
2014,Kaufman,11,48257
2014,Kendall,8,48259
2014,Kenedy,0,48261
2014,Kent,0,48263
2014,Kerr,20,48265
2014,Kimble,2,48267
2014,King,0,48269
2014,Kinney,2,48271
2014,Kleberg,19,48273
2014,Knox,0,48275
2014,Lamar,4,48277
2014,Lamb,7,48279
2014,Lampasas,11,48281
2014,La Salle,2,48283
2014,Lavaca,2,48285
2014,Lee,1,48287
2014,Leon,0,48289
2014,Liberty,13,48291
2014,Limestone,7,48293
2014,Lipscomb,1,48295
2014,Live Oak,5,48297
2014,Llano,8,48299
2014,Loving,0,48301
2014,Lubbock,133,48303
2014,Lynn,2,48305
2014,Mcculloch,0,48307
2014,Mclennan,0,48309
2014,Mcmullen,0,48311
2014,Madison,3,48313
2014,Marion,0,48315
2014,Martin,0,48317
2014,Mason,0,48319
2014,Matagorda,0,48321
2014,Maverick,0,48323
2014,Medina,21,48325
2014,Menard,0,48327
2014,Midland,23,48329
2014,Milam,4,48331
2014,Mills,0,48333
2014,Mitchell,0,48335
2014,Montague,3,48337
2014,Montgomery,69,48339
2014,Moore,3,48341
2014,Morris,1,48343
2014,Motley,1,48345
2014,Nacogdoches,23,48347
2014,Navarro,26,48349
2014,Newton,0,48351
2014,Nolan,0,48353
2014,Nueces,26,48355
2014,Ochiltree,0,48357
2014,Oldham,0,48359
2014,Orange,16,48361
2014,Palo Pinto,6,48363
2014,Panola,5,48365
2014,Parker,4,48367
2014,Parmer,0,48369
2014,Pecos,1,48371
2014,Polk,11,48373
2014,Potter,55,48375
2014,Presidio,1,48377
2014,Rains,0,48379
2014,Randall,30,48381
2014,Reagan,0,48383
2014,Real,1,48385
2014,Red River,0,48387
2014,Reeves,0,48389
2014,Refugio,0,48391
2014,Roberts,0,48393
2014,Robertson,1,48395
2014,Rockwall,13,48397
2014,Runnels,1,48399
2014,Rusk,2,48401
2014,Sabine,0,48403
2014,San Augustine,0,48405
2014,San Jacinto,4,48407
2014,San Patricio,13,48409
2014,San Saba,1,48411
2014,Schleicher,0,48413
2014,Scurry,2,48415
2014,Shackelford,0,48417
2014,Shelby,6,48419
2014,Sherman,0,48421
2014,Smith,62,48423
2014,Somervell,0,48425
2014,Starr,8,48427
2014,Stephens,0,48429
2014,Sterling,0,48431
2014,Stonewall,0,48433
2014,Sutton,1,48435
2014,Swisher,0,48437
2014,Tarrant,276,48439
2014,Taylor,24,48441
2014,Terrell,0,48443
2014,Terry,5,48445
2014,Throckmorton,0,48447
2014,Titus,6,48449
2014,Tom Green,84,48451
2014,Travis,243,48453
2014,Trinity,6,48455
2014,Tyler,0,48457
2014,Upshur,5,48459
2014,Upton,0,48461
2014,Uvalde,13,48463
2014,Val Verde,6,48465
2014,Van Zandt,20,48467
2014,Victoria,21,48469
2014,Walker,2,48471
2014,Waller,4,48473
2014,Ward,1,48475
2014,Washington,7,48477
2014,Webb,25,48479
2014,Wharton,7,48481
2014,Wheeler,0,48483
2014,Wichita,29,48485
2014,Wilbarger,0,48487
2014,Willacy,10,48489
2014,Williamson,62,48491
2014,Wilson,18,48493
2014,Winkler,1,48495
2014,Wise,9,48497
2014,Wood,16,48499
2014,Yoakum,0,48501
2014,Young,2,48503
2014,Zapata,4,48505
2014,Zavala,4,48507
2015,Anderson,9,48001
2015,Andrews,2,48003
2015,Angelina,9,48005
2015,Aransas,8,48007
2015,Archer,0,48009
2015,Armstrong,0,48011
2015,Atascosa,52,48013
2015,Austin,1,48015
2015,Bailey,0,48017
2015,Bandera,11,48019
2015,Bastrop,49,48021
2015,Baylor,0,48023
2015,Bee,6,48025
2015,Bell,71,48027
2015,Bexar,978,48029
2015,Blanco,0,48031
2015,Borden,0,48033
2015,Bosque,8,48035
2015,Bowie,5,48037
2015,Brazoria,15,48039
2015,Brazos,26,48041
2015,Brewster,0,48043
2015,Briscoe,0,48045
2015,Brooks,0,48047
2015,Brown,24,48049
2015,Burleson,6,48051
2015,Burnet,19,48053
2015,Caldwell,21,48055
2015,Calhoun,3,48057
2015,Callahan,1,48059
2015,Cameron,14,48061
2015,Camp,12,48063
2015,Carson,0,48065
2015,Cass,4,48067
2015,Castro,2,48069
2015,Chambers,7,48071
2015,Cherokee,32,48073
2015,Childress,2,48075
2015,Clay,1,48077
2015,Cochran,1,48079
2015,Coke,0,48081
2015,Coleman,2,48083
2015,Collin,68,48085
2015,Collingsworth,2,48087
2015,Colorado,3,48089
2015,Comal,46,48091
2015,Comanche,5,48093
2015,Concho,0,48095
2015,Cooke,14,48097
2015,Coryell,5,48099
2015,Cottle,0,48101
2015,Crane,0,48103
2015,Crockett,0,48105
2015,Crosby,1,48107
2015,Culberson,1,48109
2015,Dallam,0,48111
2015,Dallas,320,48113
2015,Dawson,6,48115
2015,Deaf Smith,4,48117
2015,Delta,2,48119
2015,Denton,82,48121
2015,Dewitt,0,48123
2015,Dickens,1,48125
2015,Dimmit,4,48127
2015,Donley,1,48129
2015,Duval,2,48131
2015,Eastland,3,48133
2015,Ector,73,48135
2015,Edwards,0,48137
2015,Ellis,12,48139
2015,El Paso,109,48141
2015,Erath,2,48143
2015,Falls,9,48145
2015,Fannin,11,48147
2015,Fayette,12,48149
2015,Fisher,0,48151
2015,Floyd,4,48153
2015,Foard,0,48155
2015,Fort Bend,16,48157
2015,Franklin,2,48159
2015,Freestone,6,48161
2015,Frio,22,48163
2015,Gaines,2,48165
2015,Galveston,36,48167
2015,Garza,1,48169
2015,Gillespie,3,48171
2015,Glasscock,0,48173
2015,Goliad,3,48175
2015,Gonzales,7,48177
2015,Gray,4,48179
2015,Grayson,38,48181
2015,Gregg,30,48183
2015,Grimes,5,48185
2015,Guadalupe,25,48187
2015,Hale,9,48189
2015,Hall,0,48191
2015,Hamilton,0,48193
2015,Hansford,0,48195
2015,Hardeman,0,48197
2015,Hardin,8,48199
2015,Harris,890,48201
2015,Harrison,17,48203
2015,Hartley,0,48205
2015,Haskell,4,48207
2015,Hays,32,48209
2015,Hemphill,2,48211
2015,Henderson,25,48213
2015,Hidalgo,13,48215
2015,Hill,19,48217
2015,Hockley,16,48219
2015,Hood,19,48221
2015,Hopkins,8,48223
2015,Houston,1,48225
2015,Howard,23,48227
2015,Hudspeth,0,48229
2015,Hunt,44,48231
2015,Hutchinson,1,48233
2015,Irion,0,48235
2015,Jack,0,48237
2015,Jackson,1,48239
2015,Jasper,1,48241
2015,Jeff Davis,0,48243
2015,Jefferson,63,48245
2015,Jim Hogg,0,48247
2015,Jim Wells,7,48249
2015,Johnson,44,48251
2015,Jones,0,48253
2015,Karnes,8,48255
2015,Kaufman,21,48257
2015,Kendall,8,48259
2015,Kenedy,0,48261
2015,Kent,0,48263
2015,Kerr,17,48265
2015,Kimble,0,48267
2015,King,0,48269
2015,Kinney,0,48271
2015,Kleberg,1,48273
2015,Knox,0,48275
2015,Lamar,4,48277
2015,Lamb,0,48279
2015,Lampasas,2,48281
2015,La Salle,3,48283
2015,Lavaca,7,48285
2015,Lee,3,48287
2015,Leon,0,48289
2015,Liberty,22,48291
2015,Limestone,8,48293
2015,Lipscomb,1,48295
2015,Live Oak,5,48297
2015,Llano,12,48299
2015,Loving,0,48301
2015,Lubbock,140,48303
2015,Lynn,0,48305
2015,Mcculloch,0,48307
2015,Mclennan,0,48309
2015,Mcmullen,0,48311
2015,Madison,2,48313
2015,Marion,5,48315
2015,Martin,0,48317
2015,Mason,0,48319
2015,Matagorda,10,48321
2015,Maverick,2,48323
2015,Medina,39,48325
2015,Menard,1,48327
2015,Midland,18,48329
2015,Milam,7,48331
2015,Mills,1,48333
2015,Mitchell,0,48335
2015,Montague,4,48337
2015,Montgomery,96,48339
2015,Moore,3,48341
2015,Morris,4,48343
2015,Motley,0,48345
2015,Nacogdoches,24,48347
2015,Navarro,20,48349
2015,Newton,0,48351
2015,Nolan,3,48353
2015,Nueces,27,48355
2015,Ochiltree,0,48357
2015,Oldham,0,48359
2015,Orange,28,48361
2015,Palo Pinto,36,48363
2015,Panola,2,48365
2015,Parker,46,48367
2015,Parmer,2,48369
2015,Pecos,2,48371
2015,Polk,14,48373
2015,Potter,48,48375
2015,Presidio,2,48377
2015,Rains,0,48379
2015,Randall,34,48381
2015,Reagan,0,48383
2015,Real,4,48385
2015,Red River,2,48387
2015,Reeves,1,48389
2015,Refugio,2,48391
2015,Roberts,0,48393
2015,Robertson,6,48395
2015,Rockwall,2,48397
2015,Runnels,4,48399
2015,Rusk,5,48401
2015,Sabine,0,48403
2015,San Augustine,0,48405
2015,San Jacinto,5,48407
2015,San Patricio,18,48409
2015,San Saba,1,48411
2015,Schleicher,3,48413
2015,Scurry,3,48415
2015,Shackelford,0,48417
2015,Shelby,12,48419
2015,Sherman,0,48421
2015,Smith,51,48423
2015,Somervell,3,48425
2015,Starr,1,48427
2015,Stephens,2,48429
2015,Sterling,0,48431
2015,Stonewall,5,48433
2015,Sutton,0,48435
2015,Swisher,3,48437
2015,Tarrant,280,48439
2015,Taylor,29,48441
